Table_Number,Year,Measure,Age,Sex,Indigenous_Status,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Uncertainty,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Expenditure aggregates,Total cash expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4977,3896.5,3037,1724.9,1005.7,384.1,225.4,444.8,15695.4
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Expenditure aggregates,Total accrual costs,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,5213.2,4395.9,3124.9,1891.8,1090.6,384.6,221.8,478.9,16801.8
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Staffing costs,Average police staff costs,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,219571,172466,160608,163062,158083,144862,151737,212424,181223
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Staffing costs,Average non-police staff costs,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,109852,83047,89928,94728,92451,99573,100077,81748,92807
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Land,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,602255,670879,478993,262858,71861,72645,40550,25762,2225803
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Buildings and fittings,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1106114,2539421,1162473,695377,294238,203380,55449,289832,6346284
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Other,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,534196,363146,311053,342074,46492,21434,18523,40120,1677038
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Total value of assets,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,2242565,3573446,1952519,1300309,412591,297459,114522,355714,10249125
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Real recurrent expenditure,,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4883.7,4190.7,2900.7,1776.2,931.3,333.1,220.4,444.6,15680.6
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,,Police services expenditure,Average annual growth rate real recurrent expenditure from 2018-19 to 2022-23,,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,%,5.7,3.9,2.8,2,0.7,4.8,2.1,1.2,3.7
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Real recurrent expenditure per person in the population,,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,592.76,625.07,539.34,628.7,507.74,582.75,478.17,1777.35,596.94
6A.1,2022-23,Recurrent expenditure,All ages,All people,All people,,Police services expenditure,Average annual growth rate per person in the population from 2018-19 to 2022-23,,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,%,5,3.1,1.2,0.3,-0.4,3.5,0.4,0.8,2.6
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Salaries,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,3030,2804.1,2054.3,1231.9,699.6,220.2,133.3,290.1,10463.5
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Superannuation,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,640.6,292.2,251.8,107.2,77.6,28.7,20.4,26.3,1444.7
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Payroll tax,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,144.5,146.2,0,76.9,36.7,0,0,16.3,420.6
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Total salaries and payments,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,3815.1,3242.5,2306.2,1416,813.9,248.9,153.6,332.7,12328.9
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Other recurrent expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,726.2,745.5,468.1,377.4,200.6,91.3,50.4,81.8,2741.2
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Depreciation,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,154.8,270.2,118.4,113.6,46.3,14.2,6.2,27,750.6
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Total recurrent expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4696,4258.2,2892.6,1907,1060.8,354.3,210.1,441.5,15820.7
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Net recurrent expenditure,Revenue from own sources (ROS),,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,189.4,24.2,206.2,47.7,126.8,50.2,1.6,16.5,662.7
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Net recurrent expenditure,Total recurrent expenditure less ROS and payroll tax,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4362.1,4087.7,2686.4,1782.4,897.3,304.1,208.6,408.8,14737.3
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Capital expenditure,User cost of capital,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,126.6,247.3,111.8,77.8,25.2,15.2,4.5,26.5,634.9
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Capital expenditure,Capital expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,160.3,181.5,114,104.4,22.8,29.5,16,26.6,655.2
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Expenditure aggregates,Total cash expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4557,4023.2,2888.3,1820.9,1000.6,369.7,220,424.9,15304.6
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Expenditure aggregates,Total accrual costs,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4822.6,4505.5,3004.4,1984.8,1086.1,369.5,214.7,468,16455.6
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Staffing costs,Average police staff costs,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,195443,171148,151238,169678,151753,140320,158623,222232,172676
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Staffing costs,Average non-police staff costs,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$,111625,85537,93411,104287,97318,108661,103512,75071,96346
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Land,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,606908,697950,520454,219286,72609,67475,37612,17542,2239834
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Buildings and fittings,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1011395,2710963,1113033,642194,269166,166717,46992,287425,6247884
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Other,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,570791,380803,284501,330266,45961,22984,9487,43641,1688433
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Value of assets,Total value of assets,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,2189093,3789715,1917988,1191746,387735,257175,94091,348607,10176152
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Real recurrent expenditure,,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4488.6,4335,2798.2,1860.2,922.5,319.3,213.1,435.3,15372.2
6A.1,2021-22,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Real recurrent expenditure per person in the population,,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,554.46,660.83,531.47,673.45,510.63,560.28,470.06,1745.69,596.6
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Salaries,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,2957.4,2789.4,2010.9,1148.1,735.9,208.4,131.2,296.5,10277.8
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Superannuation,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,490.3,295,240.8,103.7,79.4,26.2,19.8,25.6,1280.9
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Payroll tax,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,129.6,137.4,0,71.1,38,..,0,16.7,392.8
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Total salaries and payments,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,3577.3,3221.8,2251.7,1322.8,853.3,234.6,151,338.8,11951.5
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Other recurrent expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,663.1,761.7,403.8,360.3,197.8,100,43,83.2,2612.7
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Depreciation,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,242.7,257,98.8,106.2,47.2,15.2,6.8,24.8,798.7
6A.1,2020-21,Recurrent expenditure,All ages,All people,All people,2022-23 dollars,Police services expenditure,Recurrent expenditure,Total recurrent expenditure,,,,,,Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,4483.1,4240.6,2754.3,1789.4,1098.2,349.8,200.8,446.8,15362.9
